ID,Attrition,Degree_Type,Achieved_Credit_Points,Attendance_Type,Age,Failed_Credit_Points,International_student,First_in_family,Gender,GPA,OP_Score,Socio_Economic_Status,Teaching _Period_Admitted,Faculty
1,Retained,Single,84,Full Time,19,12,No,Yes,M,4,8,Medium,SEM-1,QUT Business School
2,Retained,Single,96,Full Time,20,0,Yes,No,F,5.88,9,Medium,SEM-1,CI Faculty
3,Retained,Single,96,Full Time,19,0,No,Yes,F,5.63,8,Medium,SEM-1,Sci and Eng Faculty
4,Retained,Single,0,Full Time,20,0,No,No,F,0,22,Medium,SEM-1,QUT Business School
5,Not Retained,Single,36,Full Time,20,36,No,No,M,3.67,10,Low,SEM-1,Sci and Eng Faculty
6,Not Retained,Single,0,Full Time,21,0,No,Yes,M,0,14,Low,SEM-1,Sci and Eng Faculty
7,Retained,Single,96,Full Time,24,0,No,Yes,M,4.38,6,Medium,SEM-1,CI Faculty
8,Retained,Single,96,Full Time,20,0,No,Yes,M,4.75,2,High,SEM-1,Faculty of Health
9,Not Retained,Double,24,Full Time,20,12,No,No,M,3.67,13,High,SEM-1,Sci and Eng Faculty
10,Retained,Single,192,Full Time,30,0,No,Yes,M,6.25,24,Low,SEM-1,Faculty of Education
11,Retained,Single,96,Full Time,26,0,No,Yes,M,4.63,21,Medium,SEM-1,QUT Business School
12,Retained,Single,84,Full Time,21,12,No,No,M,4.38,15,High,SEM-1,Faculty of Education
13,Retained,Single,108,Full Time,46,0,No,Yes,M,6,11,Medium,SEM-2,Sci and Eng Faculty
14,Retained,Single,72,Part Time,38,0,No,Yes,M,4,7,High,SEM-2,Sci and Eng Faculty
15,Retained,Single,144,Full Time,25,72,No,Yes,M,3.61,1,Medium,SEM-1,CI Faculty
16,Retained,Single,72,Full Time,19,24,No,No,M,4.13,9,Medium,SEM-1,Sci and Eng Faculty
17,Retained,Single,96,Full Time,21,0,No,Yes,M,6.43,25,Medium,SEM-1,Sci and Eng Faculty
18,Retained,Single,96,Full Time,19,0,No,No,M,6.88,5,High,SEM-1,QUT Business School
19,Retained,Single,96,Full Time,22,0,No,No,M,6.5,19,Medium,SEM-1,Sci and Eng Faculty
20,Retained,Single,96,Full Time,20,0,No,Yes,M,5.13,8,Low,SEM-1,Faculty of Health
21,Retained,Single,192,Full Time,28,0,No,No,M,4.75,23,Medium,SEM-1,Faculty of Law
22,Retained,Single,144,Full Time,23,0,No,Yes,M,5,10,Medium,SEM-1,Faculty of Education
23,Retained,Single,96,Full Time,19,0,No,No,M,4.63,11,Medium,SEM-1,Faculty of Health
24,Retained,Single,192,Full Time,24,0,Yes,No,M,4.75,3,Low,SEM-1,Sci and Eng Faculty
25,Retained,Single,96,Full Time,26,0,No,Yes,M,6.38,22,Low,SEM-1,Sci and Eng Faculty
26,Retained,Double,120,Full Time,24,60,No,No,M,2.75,12,Medium,SEM-1,Sci and Eng Faculty
27,Retained,Single,132,Full Time,25,12,Yes,No,F,3.75,15,High,SEM-2,Faculty of Health
28,Retained,Single,12,Full Time,19,24,No,No,M,2,12,Medium,SEM-2,QUT Business School
29,Retained,Single,96,Full Time,21,0,No,Yes,F,5.63,2,Medium,SEM-1,CI Faculty
30,Retained,Single,108,Full Time,19,0,No,Yes,F,5.63,9,Medium,SEM-1,CI Faculty
31,Retained,Single,84,Full Time,19,0,No,Yes,F,4.86,11,High,SEM-1,Faculty of Education
32,Not Retained,Single,96,Full Time,21,0,No,No,F,4.67,10,Medium,SEM-2,CI Faculty
33,Retained,Single,96,Full Time,19,0,No,No,F,5.38,9,Medium,SEM-1,Faculty of Education
34,Retained,Single,96,Full Time,19,0,No,No,F,4.71,8,Medium,SEM-1,Faculty of Health
35,Not Retained,Single,60,Full Time,19,12,Yes,No,F,4.67,6,Medium,SEM-1,CI Faculty
36,Retained,Single,96,Full Time,19,0,No,No,F,4.5,18,Medium,SEM-1,Faculty of Education
37,Retained,Single,72,Full Time,19,12,No,No,F,4,11,Medium,SEM-1,QUT Business School
38,Not Retained,Single,84,Full Time,19,12,No,Yes,F,5,7,High,SEM-1,QUT Business School
39,Retained,Single,60,Full Time,20,0,No,No,F,5.8,23,Medium,SEM-2,CI Faculty
40,Retained,Single,96,Full Time,20,0,No,No,F,5,9,Low,SEM-1,Faculty of Health
41,Retained,Single,48,Full Time,19,12,No,Yes,F,5.5,10,Medium,SEM-2,Faculty of Health
42,Retained,Single,108,Full Time,21,0,No,No,F,5.56,6,Medium,SEM-1,CI Faculty
43,Not Retained,Single,48,Full Time,19,0,No,Yes,F,4.25,16,Medium,SEM-1,CI Faculty
44,Not Retained,Single,0,Full Time,25,48,No,Yes,M,1,16,Low,SEM-2,Faculty of Health
45,Retained,Single,132,Full Time,43,12,Yes,No,M,4,3,Medium,SEM-2,Faculty of Health
46,Retained,Single,96,Full Time,23,0,Yes,No,M,5.25,14,Low,SEM-1,Sci and Eng Faculty
47,Retained,Single,108,Full Time,34,12,Yes,No,M,4.38,2,High,SEM-1,Faculty of Health
48,Not Retained,Single,0,Full Time,19,0,No,Yes,M,0,11,Medium,SEM-1,Faculty of Law
49,Retained,Single,180,Full Time,25,0,Yes,No,M,4.57,2,Medium,SEM-1,Sci and Eng Faculty
50,Retained,Single,24,Part Time,23,48,No,Yes,M,2.83,23,Medium,SEM-1,Sci and Eng Faculty
51,Retained,Single,144,Full Time,27,0,Yes,No,M,4.75,12,Medium,SEM-1,Sci and Eng Faculty
52,Retained,Single,144,Full Time,21,0,Yes,No,M,4.88,12,Medium,SEM-1,Sci and Eng Faculty
53,Retained,Single,156,Full Time,23,0,No,No,M,4.38,25,Medium,SEM-1,QUT Business School
54,Retained,Single,84,Full Time,19,12,No,Yes,M,3.88,8,Low,SEM-1,Faculty of Health
55,Retained,Single,84,Full Time,19,12,No,No,M,4.38,9,Low,SEM-1,Sci and Eng Faculty
56,Not Retained,Single,48,Full Time,19,0,Yes,No,F,5.5,9,Medium,SEM-1,Faculty of Health
57,Retained,Single,60,Full Time,19,0,No,No,F,5.2,11,High,SEM-1,CI Faculty
58,Retained,Single,96,Full Time,19,0,No,No,F,5.75,11,Medium,SEM-1,Sci and Eng Faculty
59,Retained,Single,96,Full Time,19,0,No,No,F,4.83,11,Low,SEM-1,CI Faculty
60,Retained,Single,0,Full Time,19,0,No,Yes,F,0,9,High,SEM-2,CI Faculty
61,Not Retained,Single,84,Full Time,19,12,No,No,F,3.63,14,Medium,SEM-1,Faculty of Education
62,Retained,Single,96,Full Time,21,0,No,Yes,F,6.14,9,Low,SEM-1,Faculty of Health
63,Retained,Single,96,Full Time,20,0,No,No,F,5.67,13,High,SEM-1,CI Faculty
64,Retained,Single,192,Full Time,27,0,Yes,No,F,6,4,Medium,SEM-1,Faculty of Health
65,Retained,Single,96,Full Time,35,0,No,Yes,M,5.83,3,Medium,SEM-1,Faculty of Health
66,Retained,Single,168,Full Time,21,24,Yes,No,M,4.88,14,Medium,SEM-1,Sci and Eng Faculty
67,Retained,Single,96,Full Time,19,0,No,Yes,F,5.14,6,Medium,SEM-1,Faculty of Health
68,Retained,Single,96,Full Time,22,0,Yes,No,F,6,9,Low,SEM-1,Faculty of Health
69,Retained,Single,0,Full Time,20,96,Yes,No,M,1.13,9,Medium,SEM-1,QUT Business School
70,Retained,Single,96,Full Time,27,0,No,Yes,M,6.75,7,Low,SEM-1,Sci and Eng Faculty
71,Retained,Single,0,Full Time,32,0,No,No,M,0,21,High,SEM-1,Sci and Eng Faculty
72,Retained,Single,96,Full Time,23,0,No,No,M,4.38,20,Low,SEM-1,CI Faculty
73,Retained,Single,72,Full Time,20,36,No,No,M,4.22,5,Low,SEM-1,Sci and Eng Faculty
74,Retained,Single,96,Full Time,21,0,No,No,M,6.25,23,High,SEM-1,Sci and Eng Faculty
75,Retained,Single,96,Full Time,19,0,No,No,M,6.38,4,Low,SEM-1,Faculty of Health
76,Retained,Single,192,Full Time,21,0,No,Yes,M,5.25,13,High,SEM-1,QUT Business School
77,Retained,Single,96,Full Time,19,0,No,Yes,M,5.13,7,Medium,SEM-1,Sci and Eng Faculty
78,Not Retained,Single,24,Full Time,43,12,No,Yes,M,4.33,3,High,SEM-2,Sci and Eng Faculty
79,Not Retained,Single,0,Full Time,20,0,No,Yes,M,0,11,High,SEM-2,Sci and Eng Faculty
80,Retained,Single,60,Full Time,19,36,No,Yes,M,3.63,11,Medium,SEM-1,Sci and Eng Faculty
81,Retained,Double,36,Full Time,20,60,No,No,M,2.63,19,High,SEM-1,Sci and Eng Faculty
82,Retained,Single,120,Part Time,45,0,No,Yes,M,7,15,High,SEM-2,Faculty of Law
83,Retained,Single,96,Full Time,19,0,No,Yes,M,5,11,Medium,SEM-1,CI Faculty
84,Not Retained,Single,120,Part Time,33,0,No,No,M,6.5,3,High,SEM-1,Faculty of Law
85,Retained,Single,96,Full Time,19,0,No,No,M,4.75,8,High,SEM-1,QUT Business School
86,Retained,Double,48,Full Time,20,24,No,No,M,4,8,High,SEM-1,Faculty of Health
87,Retained,Single,0,Part Time,43,24,No,No,M,2,18,High,SEM-2,Faculty of Health
88,Retained,Single,216,Full Time,21,0,No,No,M,4.5,9,Medium,SEM-2,Faculty of Law
89,Retained,Single,0,Full Time,19,96,No,Yes,M,1.38,13,Medium,SEM-1,QUT Business School
90,Retained,Single,0,Full Time,24,0,No,No,M,0,13,High,SEM-1,Sci and Eng Faculty
91,Retained,Single,240,Full Time,20,0,Yes,No,M,4.5,22,Medium,SEM-2,Sci and Eng Faculty
92,Retained,Single,0,Full Time,20,0,No,No,M,0,6,Medium,SEM-1,Sci and Eng Faculty
93,Retained,Single,96,Full Time,21,0,No,Yes,M,5.5,11,Medium,SEM-1,Sci and Eng Faculty
94,Retained,Single,108,Full Time,21,0,No,No,M,5.2,4,Medium,SEM-2,QUT Business School
95,Not Retained,Single,96,Full Time,27,0,No,No,M,0,15,Medium,SEM-1,Faculty of Law
96,Retained,Single,240,Part Time,22,0,No,Yes,M,5.05,4,Low,SEM-1,QUT Business School
97,Retained,Single,120,Full Time,21,0,Yes,No,F,5,13,Medium,SEM-1,CI Faculty
98,Retained,Double,96,Full Time,19,0,No,No,M,5,7,Medium,SEM-1,Sci and Eng Faculty
99,Retained,Single,0,Full Time,26,0,No,No,M,0,21,Medium,SEM-1,CI Faculty
100,Retained,Single,96,Full Time,19,0,No,Yes,F,6.5,2,High,SEM-1,Sci and Eng Faculty
101,Retained,Single,168,Full Time,24,12,No,No,F,4,20,High,SEM-1,Faculty of Health
102,Retained,Single,156,Full Time,21,0,Yes,No,F,5.25,8,High,SEM-2,CI Faculty
103,Retained,Double,84,Full Time,19,0,No,Yes,M,5.57,4,Medium,SEM-1,Sci and Eng Faculty
104,Retained,Single,60,Full Time,22,36,No,Yes,F,3.75,3,Medium,SEM-1,Sci and Eng Faculty
105,Retained,Single,168,Full Time,20,24,No,No,F,4,1,Low,SEM-1,QUT Business School
106,Retained,Single,96,Full Time,19,0,No,No,M,5.88,7,Medium,SEM-1,QUT Business School
107,Retained,Single,96,Full Time,30,0,No,Yes,F,6,25,High,SEM-1,Faculty of Health
108,Not Retained,Single,84,Full Time,19,12,No,No,M,4.88,10,Medium,SEM-1,Sci and Eng Faculty
109,Retained,Single,84,Part Time,32,12,No,Yes,F,4.63,18,Medium,SEM-1,Faculty of Law
110,Retained,Single,156,Full Time,26,0,No,No,M,4.92,21,Medium,SEM-1,Faculty of Health
111,Not Retained,Single,144,Full Time,24,36,Yes,No,M,3,9,Low,SEM-1,QUT Business School
112,Retained,Single,72,Full Time,22,24,No,No,F,4.13,24,High,SEM-1,CI Faculty
113,Not Retained,Single,48,Full Time,23,0,No,Yes,F,4.25,22,Medium,SEM-2,Faculty of Law
114,Retained,Double,36,Full Time,18,12,Yes,No,F,4,4,High,SEM-2,Faculty of Law
115,Retained,Single,72,Full Time,25,0,Yes,No,F,5.17,17,High,SEM-1,Faculty of Health
116,Retained,Single,156,Full Time,21,12,No,No,M,4.14,25,Low,SEM-1,Sci and Eng Faculty
117,Retained,Single,96,Full Time,20,0,Yes,No,M,6.75,1,Low,SEM-1,Faculty of Health
118,Retained,Single,96,Full Time,19,0,No,No,M,5.13,10,Low,SEM-1,Sci and Eng Faculty
119,Retained,Single,96,Full Time,18,0,No,No,M,5.75,8,Medium,SEM-1,CI Faculty
120,Retained,Single,48,Full Time,23,0,No,Yes,M,5,11,Medium,SEM-2,Sci and Eng Faculty
121,Retained,Single,96,Full Time,20,0,No,No,M,6.38,3,Medium,SEM-1,Sci and Eng Faculty
122,Retained,Single,96,Full Time,20,0,No,No,M,5.63,6,High,SEM-1,QUT Business School
123,Retained,Single,36,Full Time,19,12,No,No,M,4.5,24,Medium,SEM-1,Sci and Eng Faculty
124,Not Retained,Single,0,Full Time,20,48,No,Yes,M,1,8,Low,SEM-1,Sci and Eng Faculty
125,Retained,Single,96,Full Time,19,0,No,No,M,6.38,10,Medium,SEM-1,Sci and Eng Faculty
126,Not Retained,Single,36,Full Time,19,48,No,Yes,M,3.29,14,Low,SEM-1,QUT Business School
127,Retained,Single,24,Part Time,19,24,No,No,M,3.25,9,High,SEM-1,CI Faculty
128,Retained,Single,96,Full Time,19,0,No,Yes,M,4.75,9,Medium,SEM-1,Sci and Eng Faculty
129,Retained,Single,192,Full Time,20,0,No,No,M,5,7,High,SEM-1,Sci and Eng Faculty
130,Retained,Single,108,Full Time,20,0,No,No,M,4.33,6,Medium,SEM-1,Faculty of Law
131,Retained,Single,48,Part Time,20,0,No,No,M,6,10,Medium,SEM-1,CI Faculty
